vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,maximum_speed,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
2267,58559,8001,80,0,S,,58559,0,1081,0,0,0,0,6,,2.2854,2.3127,46.638078,-122.532465,45.61025333333333,2,2
2267,58694,8001,80,0,S,,58694,0,890,0,0,0,0,8,,3.0503,3.0982,130.370831,-122.53375666666666,45.62095166666667,2,2
2267,58909,8001,80,0,S,,58909,0,324,0,0,0,0,8,,4.6851,4.738,28.968884,-122.53165166666666,45.642985,2,2
2267,59773,8001,80,0,S,,59773,0,355,0,0,0,0,9,,8.3282,8.4258,120.04259,-122.56452333333333,45.66377333333333,2,2
2267,59786,8001,80,0,S,,59786,0,773,0,0,0,0,9,,8.4569,8.5569,50.235898,-122.567035,45.66265166666667,2,2
2267,59933,8001,80,0,S,,59933,0,112,0,0,0,0,9,,9.1304,9.2087,208.832151,-122.57841166666667,45.65829333333333,2,2
2267,58653,8001,80,0,S,,58631,22,1083,1,0,2,0,8,,2.7191,2.7924,8.723053,-122.532415,45.61707166666667,2,2
2267,58762,8001,80,0,S,,58762,0,921,0,0,0,0,8,,3.5928,3.6176,139.809222,-122.53457333333333,45.629036666666664,2,2
2267,58716,8001,80,0,S,,58716,0,892,0,0,0,0,8,,3.2206,3.2647,69.475122,-122.53454666666667,45.62372666666667,2,2
2267,59176,8001,80,0,S,,59176,0,189,0,0,0,0,8,,6.2367,6.3206,159.072008,-122.55818666666667,45.64756333333333,2,2
2267,59235,8001,80,0,S,,59235,0,185,0,0,0,0,8,,6.7841,6.8891,98.137122,-122.557875,45.655065,2,2
2267,58337,8001,80,0,S,,58337,0,486,0,0,0,0,5,,1.3055,1.2987,122.823647,-122.51428833333334,45.605378333333334,2,2
2267,58360,8001,80,0,S,,58360,0,485,0,0,0,0,5,,1.4683,1.4751,185.19882,-122.51788666666667,45.606368333333336,2,2
2267,58469,8001,80,0,S,,58404,65,1080,1,0,1,0,6,,1.6796,1.7349,18.753238,-122.52197,45.60782833333333,2,2
2267,58681,8001,80,0,S,58620,58681,0,747,0,0,0,0,8,,2.9279,2.9782,46.371123,-122.532675,45.619895,2,4
2267,58862,8001,80,0,S,,58862,0,898,0,0,0,0,8,,4.4061,4.431,154.824109,-122.53064833333333,45.63950833333333,2,2
2267,58927,8001,80,0,S,,58927,0,308,0,0,0,0,8,,4.8187,4.8896,35.517879,-122.53454833333333,45.64296,2,2
2267,59004,8001,80,0,S,,59004,0,310,0,0,0,0,8,,5.3475,5.4072,46.208089,-122.54519833333333,45.64290333333334,2,2
2267,59357,8001,80,0,S,,59357,0,1201,0,0,0,0,9,,7.1066,7.2135,92.167776,-122.55972833333334,45.658701666666666,2,2
2267,58583,8001,80,0,S,,58583,0,1082,0,0,0,0,6,,2.483,2.5197,23.850357,-122.53244333333333,45.613173333333336,2,2
2267,58815,8001,80,0,S,,58815,0,896,0,0,0,0,8,,4.0551,4.0818,286.97488,-122.53056166666667,45.63475666666667,2,2
2267,59034,8001,80,0,S,,59034,0,312,0,0,0,0,8,,5.6371,5.7054,31.677515,-122.55141833333333,45.64286333333333,2,2
2267,59145,8001,80,0,S,59220,59145,0,845,0,0,0,0,8,,5.9596,6.0584,100.129025,-122.55786833333333,45.64360333333333,2,4
2267,59317,8001,80,0,S,,59251,66,182,1,0,1,0,9,,6.8705,7.0041,16.404606,-122.55787666666667,45.657046666666666,2,2
